artigoEmPeriodico	 	2021	2525-4251	http://dx.doi.org/10.25286/repa.v%206%20i%202.1%20269	Estudo da Utilização de Cartas de Controle e da Capabilidade de Processo no Monitoramento e Ajuste dos Intervalos de Calibração de um Transdutor de Torque	REVISTA DE ENGENHARIA E PESQUISA APLICADA	ARAUJO, R. P. ; Oliveira, José Eduardo ; OLIVEIRA, C. A. N. ; SILVA, N. G. ; OLIVEIRA, E. J. A. ; FREITAS, M. M. S.	B5	
artigoEmPeriodico	 	2021	0920-5861	http://dx.doi.org/10.1016/j.cattod.2021.02.006	Photocatalytic degradation of RB5 textile dye using immobilized TiO2 in brass structured systems	CATALYSIS TODAY	DA SILVA, ÉMERSON F.M. ; XIMENES, ÉRIKA R.B. ; DE SALES, LETÍCIA B.V. ; DANTAS, ERICA J.M. ; OLIVEIRA, EVELLE D.C. ; SIMÕES, THIAGO B. ; RIBEIRO, ANDRÉ T.S. ; SANZ, OIHANE ; Machado, Giovanna ; ALMEIDA, LUCIANO C.	A1	
artigoEmPeriodico	 	2021	2525-8761	http://dx.doi.org/10.34117/bjdv7n2-117	Development of the capability coefficient (Cdl*) for quality control of measuring instruments and systems	https://doi.org/10.34117/bjdv7n2-117	OLIVEIRA, J. E. F. ; OLIVEIRA, C. A. N. ; ARAUJO, R. P. ; Oliveira, Eduardo José Alecio ; SILVA, N. G. ; SOARES, A. M. F.	Qualis nao identificado	https://doi.org/10.34117/bjdv7n2-117
artigoEmPeriodico	 	2021	2525-8761	http://dx.doi.org/10.34117/bjdv7n1-500	Aplicação da Análise de Pareto através de um experimento fatorial para o coeficiente de capabilidade (Cdl*) ? um estudo de caso relacionado à grandeza torque	Brazilian Journal of Development	Oliveira, José Eduardo ; OLIVEIRA, CARLOS AUGUSTO NASCIMENTO ; OLIVEIRA, S. T. ; SOARES, A. M. F. ; OLIVEIRA, E. J. A. ; SILVA, N. G. ; ARAUJO, R. P.	Qualis nao identificado	Brazilian Journal of Development
artigoEmPeriodico	 	2021	0022-4596	http://dx.doi.org/10.1016/j.jssc.2020.121916	Novel luminescent calixarene-based lanthanide materials: From synthesis and characterization to the selective detection of Fe3+	JOURNAL OF SOLID STATE CHEMISTRY	SILVA LINS, ILÁRIA MARTINA ; DANIEL DA SILVA FONSECA, JOSÉ ; LOURENÇO DA LUZ, LEONIS ; CHOJNACKI, JAROS'AW ; Júnior, Severino Alves ; BARROS, BRÁULIO SILVA ; KULESZA, JOANNA	Qualis nao identificado	JOURNAL OF SOLID STATE CHEMISTRY
artigoEmPeriodico	 	2021	1735-9244	http://dx.doi.org/10.5829/ije.2021.34.04a.29	Control of Steel Detachment and Metal Flow on Aluminum-steel Friction Stir Welding of Thin Joints	IJE TRANSACTIONS A: Basics	TORRES, E.A. ; GRACIANO-URIBE, J. ; SANTOS, T. F. A.	Qualis nao identificado	IJE TRANSACTIONS A: Basics
artigoEmPeriodico	 	2021	0268-3768	http://dx.doi.org/10.1007/s00170-020-06418-z	Banding and microstructural features in laser cladding of a 304 substrate using 316 powder	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY	TORRES, EDWAR A. ; APOLINARIO, LUIS H. R. ; ARAUJO, HELEN R. ; PICCHI, IVAN B. M. ; SANTOS, TIAGO F. A.	B1	THE INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY (INTERNET)
artigoEmPeriodico	 	2020	1517-7076	http://dx.doi.org/10.1590/S1517-707620200004.1162	Structural and photophysical properties of hydroxyapatite doped with lanthanide ions	Materia-Rio de Janeiro	BARBOSA, A. A. ; JUNIOR, S. ALVES ; OLIVEIRA, R. A. P. ; FERRAZ, A. V.	B2	
artigoEmPeriodico	 	2020	0928-4931	http://dx.doi.org/10.1016/j.msec.2020.111227	Multifunctional hydroxyapatite with potential for application in theranostic nanomedicine	Materials Science & Engineering C-Materials for Biological Applications	BARBOSA, AMANDA ALVES ; Júnior, Severino Alves ; MENDES, ROSEMAIRY LUCIANE ; DE LIMA, RICARDO SANTANA ; DE VASCONCELOS FERRAZ, ANDRÉA	B1	
artigoEmPeriodico	 	2020	1678-2690	http://dx.doi.org/10.1590/0001-3765202020200504	TiO2 nanotubes decorated with Au nanoparticles for Photocatalytic Hydrogen Generation under UV-Visible and Visible Light Irradiations	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)	COSTA, JEAN CLAUDIO S. ; FRANCO, NOELIA ; SOARES, THIAGO ANDRÉ S. ; SARAIVA, NAYTHALLA ANGELA M. ; GARCIA, MARCO AURÉLIO S. ; GONZALEZ, JOHAN RENE ; Machado, Giovanna	B1	
